student_id,week,cohort,base_score,score
1,1,Baseline (Traditional),32.5,34.582356291674095
1,2,Baseline (Traditional),35,30.68123695059088
1,3,Baseline (Traditional),37.5,38.05695246007709
1,4,Baseline (Traditional),40,39.66100486020569
1,5,Baseline (Traditional),42.5,39.833441538861614
1,6,Baseline (Traditional),45,34.93564387196217
1,7,Baseline (Traditional),47.5,44.55941281017329
1,8,Baseline (Traditional),50,45.91951094745963
1,9,Baseline (Traditional),52.5,52.95421776518923
1,10,Baseline (Traditional),55,53.10483607263962
1,11,Baseline (Traditional),57.5,55.86714118264829
1,12,Baseline (Traditional),60,57.078266885625546
1,13,Baseline (Traditional),62.5,61.61425360237531
1,14,Baseline (Traditional),65,64.0967339022842
1,15,Baseline (Traditional),67.5,57.312474215486816
2,1,Baseline (Traditional),32.5,37.888005997188124
2,2,Baseline (Traditional),35,37.465632583399874
2,3,Baseline (Traditional),37.5,38.37025735323155
2,4,Baseline (Traditional),40,36.781124678398946
2,5,Baseline (Traditional),42.5,45.25898711050328
2,6,Baseline (Traditional),45,43.68531194363904
2,7,Baseline (Traditional),47.5,46.84127369229664
2,8,Baseline (Traditional),50,44.43188448091478
2,9,Baseline (Traditional),52.5,58.363299044805565
2,10,Baseline (Traditional),55,55.19282723290178
2,11,Baseline (Traditional),57.5,65.13233533856796
2,12,Baseline (Traditional),60,66.92377810894928
2,13,Baseline (Traditional),62.5,62.732583349037185
2,14,Baseline (Traditional),65,67.58131264710069
2,15,Baseline (Traditional),67.5,74.4025159460252
3,1,Baseline (Traditional),32.5,30.384132330175017
3,2,Baseline (Traditional),35,35.6655681024502
3,3,Baseline (Traditional),37.5,36.48110570094421
3,4,Baseline (Traditional),40,41.331129437751635
3,5,Baseline (Traditional),42.5,43.22973125131054
3,6,Baseline (Traditional),45,49.658374998072006
3,7,Baseline (Traditional),47.5,49.87397140291147
3,8,Baseline (Traditional),50,46.432881083130525
3,9,Baseline (Traditional),52.5,54.80901324142961
3,10,Baseline (Traditional),55,51.700377675767825
3,11,Baseline (Traditional),57.5,52.87098456950623
3,12,Baseline (Traditional),60,63.111995096024856
3,13,Baseline (Traditional),62.5,57.68311285610773
3,14,Baseline (Traditional),65,66.22685640859072
3,15,Baseline (Traditional),67.5,64.16536583743178
4,1,Baseline (Traditional),32.5,38.17256465401499
4,2,Baseline (Traditional),35,37.84714447140287
4,3,Baseline (Traditional),37.5,35.89000910855051
4,4,Baseline (Traditional),40,43.19744887485803
4,5,Baseline (Traditional),42.5,44.205937742227796
4,6,Baseline (Traditional),45,40.32040532025751
4,7,Baseline (Traditional),47.5,46.675199358827925
4,8,Baseline (Traditional),50,46.27755876302555
4,9,Baseline (Traditional),52.5,54.29759026316695
4,10,Baseline (Traditional),55,52.420774181750744
4,11,Baseline (Traditional),57.5,56.574309240756165
4,12,Baseline (Traditional),60,55.05452795421852
4,13,Baseline (Traditional),62.5,58.656178807107935
4,14,Baseline (Traditional),65,65.53582512627824
4,15,Baseline (Traditional),67.5,63.50378910812287
5,1,Baseline (Traditional),32.5,31.934117236747145
